Date,SPY,TLT
2002-07-30,59.341808,37.468731
2002-07-31,59.485374,37.932953
2002-08-01,57.932323,38.148998
2002-08-02,56.633778,38.539646
2002-08-05,54.663132,38.709705
2002-08-06,56.503284,38.378807
2002-08-07,57.488613,38.470718
2002-08-08,59.348339,38.470718
2002-08-09,59.570164,39.013069
2002-08-12,59.133007,39.25206
2002-08-13,58.056328,39.734699
2002-08-14,60.177055,39.886372
2002-08-15,61.012314,39.537052
2002-08-16,60.829609,39.095783
2002-08-19,62.252102,39.215294
2002-08-20,61.593079,39.651951
2002-08-21,62.480495,39.440514
2002-08-22,63.087395,39.095783
2002-08-23,61.730091,39.481892
2002-08-26,62.16074,39.518654
2002-08-27,61.443005,39.270451
2002-08-28,60.098728,39.468098
2002-08-29,60.124855,39.785255
2002-08-30,59.889942,40.024261
2002-09-03,57.606045,40.639568
2002-09-04,58.428268,40.630341
2002-09-05,57.932323,40.851894
2002-09-06,58.728443,40.371845
2002-09-09,59.1591,40.311829
2002-09-10,59.837738,40.505726
2002-09-11,59.465805,40.293346
2002-09-12,58.369545,40.607277
2002-09-13,58.513096,40.98119
2002-09-16,58.656639,41.050377
2002-09-17,57.312428,41.128872
2002-09-18,56.738174,41.138088
2002-09-19,55.269951,41.415062
2002-09-20,55.288315,41.221207
2002-09-23,54.836071,41.590466
2002-09-24,53.951157,41.858181
2002-09-25,55.288315,41.35041
2002-09-26,56.19289,41.25351
2002-09-27,54.239567,41.562786
2002-09-30,53.610336,41.728916
2002-10-01,56.18631,41.211365
2002-10-02,54.501766,41.447685
2002-10-03,53.951157,41.34573
2002-10-04,52.961422,41.475494
2002-10-07,51.86681,41.544991
2002-10-08,52.67955,41.55888
2002-10-09,51.191669,41.772038
2002-10-10,52.849995,41.443047
2002-10-11,55.163784,40.951843
2002-10-14,55.471855,40.891697
2002-10-15,58.139591,39.923252
2002-10-16,56.73035,39.941772
2002-10-17,57.857731,39.455242
2002-10-18,58.100262,39.557175
2002-10-21,59.103107,39.172573
2002-10-22,58.677059,39.061382
2002-10-23,59.122795,39.075302
2002-10-24,57.916752,39.418133
2002-10-25,59.122795,39.561825
2002-10-28,58.736053,39.506218
2002-10-29,58.054379,40.020546
2002-10-30,58.618103,40.006634
2002-10-31,58.021595,40.187366
2002-11-01,59.16869,40.019352
2002-11-04,59.732357,39.842438
2002-11-05,60.204285,39.68885
2002-11-06,60.984287,39.847107
2002-11-07,59.489845,40.833878
2002-11-08,58.762272,41.164341
2002-11-11,57.85117,41.38776
2002-11-12,58.310009,41.150356
2002-11-13,58.369007,41.238815
2002-11-14,59.470177,40.382362
2002-11-15,59.909359,40.545277
2002-11-18,59.306309,40.72681
2002-11-19,59.227657,40.875755
2002-11-20,60.545116,40.475487
2002-11-21,61.67252,40.084457
2002-11-22,61.233341,40.047268
2002-11-25,61.27269,39.972801
2002-11-26,60.105972,40.475487
2002-11-27,61.797089,39.563164
2002-11-29,61.600449,39.81918
2002-12-02,61.69878,39.856075
2002-12-03,60.872871,39.912251
2002-12-04,60.597557,40.11797
2002-12-05,59.928989,40.22081
2002-12-06,60.322269,40.290932
2002-12-09,58.663956,40.5154
2002-12-10,59.450481,40.622932
2002-12-11,59.502975,40.894127
2002-12-12,59.496384,40.856735
2002-12-13,58.559086,40.459278
2002-12-16,60.0732,40.155392
2002-12-17,59.54884,40.155392
2002-12-18,58.860607,40.468655
2002-12-19,58.441086,40.828686
2002-12-20,59.274994,40.856735
